idCompany,name,cpf
1,"Pessoa da Wonka","230.841.911-31"
2,"Pessoa da Tio Patinhas","985.105.727-47"
3,"Pessoa da Acme","841.753.318-40"
1,"Mariana Fagundes","886.192.713-00"
1,"Fernando Augusto Rodrigues","424.787.441-12"
1,"Paula Macedo Gomes","854.688.147-22"
2,"Ricardo Pontes","011.934.023-28"
2,"Rafaela Dias Silva","129.488.833-23"
2,"Romario Pacheco","074.399.219-38"
3,"Augusto Wozniak","007.123.232-12"
3,"Otavio Oliveira","882.334.849-01"
3,"Waldisney Gates","724.248.063-89"
1,"João Patricio","148.370.988-43"
1,"Marília Roberta Almeida","353.362.283-54"
